Make,Model,Trim,Year,URL
Ford,Mustang Mach-E,Standard,2021,https://www.youtube.com/watch?v=c4n5iPqxpaw
Ford,Mustang Mach-E,Standard,2021,https://www.youtube.com/watch?v=Q8_LWJ6AXpY
Ford,F-150 Lightning,Standard,2022,https://www.youtube.com/watch?v=Bq5EwFRab6Q
Ford,F-150 Lightning,Standard,2022,https://www.youtube.com/watch?v=J2npVg9ONFo
Ford,F-150 Lightning,Standard,2022,https://www.youtube.com/watch?v=PxnbtY7ep0Q
Ford,SuperVan,Standard,2022,https://www.youtube.com/watch?v=5mJ99mUNYE4
Ford,Mustang Mach-E,GT,2021,https://www.youtube.com/watch?v=tS-Bnl7SKbg
Porsche,Taycan,Standard,2020,https://www.youtube.com/watch?v=0vq6KEOIiMg
Polestar,2,Standard,2021,https://www.youtube.com/watch?v=s3FLr4FkjA4
VW,ID.4,Standard,2021,https://www.youtube.com/watch?v=0Zzpsn_D9HA
Audi,RS E-Tron GT,Standard,2021,https://www.youtube.com/watch?v=KqbRRqaMYMA
Hyundai,Ioniq 5,Standard,2021,https://www.youtube.com/watch?v=lUSt2ijx1RQ
